IDENTIFIER,en,zh-hans,ru
UI_OPTIONSNOTES,"Preferences vary: the Red Grail, among others, has taught us that.\n\n[You can drag a stack by its number badge to move the whole stack. You can zoom with the mouse wheel, or with Q and E. 1, 2 and 3 switch zoom levels. Arrow keys move your view.]","偏爱千奇百怪：正如赤杯，以及其他诸时枢神的教导。\n[你可以拖拽牌堆上的数字标记来拖拽整个牌堆。你可以使用鼠标滚轮或者键盘上的Q/E键来缩放画面。按1,2,3键可以切换不同的缩放级别。可以用方向键来挪动视野。]","Желания различны: среди прочих так учит нас Алая Чаша.\n[Перенести всю стопку можно, взяв за число. Масштаб — колесом мыши и кнопками Й и У; основные масштабы — на 1, 2 и 3. Стрелки смещают взгляд.]"
UI_OPTIONSNOTES_FE,"Preferences vary: the Red Grail, among others, has taught us that.",偏爱千奇百怪：正如赤杯，以及其他诸时枢神的教导。 ,Желания различны: среди прочих так учит нас Алая Чаша.
UI_OPT_MUSICVOL,Music Volume,音乐音量,Громкость музыки
UI_OPT_SOUNDVOL,Sound Volume,音效音量,Громкость звука
UI_OPT_INFODURATION,Info Window Duration,信息窗口持续时长 ,Показывать окна
UI_OPT_UISCALING,UI Scaling,UI尺寸 ,Размер интерфейса
UI_OPT_AUTOSAVEINTERVAL,Autosave Interval,自动保存间隔,Автосохранение
UI_OPT_GRIDSNAPSIZE,Grid Snap Size,网格对齐大小,Сетка для карт
UI_OPT_CONTRAST,High Contrast Mode,,
UI_OPT_ACCESSIBLE_CARDS,Accessible Card Text,,
UI_OPT_BIRDWORM,Bird / Worm,虫/鸟,Птица / Червь
UI_BIRD,Bird,虫,Птица
UI_WORM,Worm,鸟,Червь
UI_CARD,Card,张卡牌,карта
UI_ON,On,,
UI_OFF,Off,关闭,Откл.
UI_SNAP_0,Off,关闭,Откл.
UI_SNAP_1,1 Card,1张卡牌,1 карта
UI_SNAP_2,½ Card,½张卡牌,½ карты
UI_SNAP_3,¼ Card,¼张卡牌,¼ карты
UI_FIXEDSPACE,<mspace=1.6em>,<mspace=2.2em><b>,<mspace=2.2em><b>
UI_MINUTES_POSTFIX, min,分钟, мин
UI_SECONDS_POSTFIX, sec, 秒, с
UI_SECONDS_POSTFIX_SHORT,s,</b> 秒,с</b>
UI_TIME_SEPERATOR,".",".",","
UI_KNOWN_LINUX,KNOWN LINUX ISSUES,已知Linux版本问题,Известные проблемы Linux
UI_KNOWN_LINUX_1,- Keystrokes may register twice when naming your characters. This is a Unity issue; hoping for a fix!,- 在为角色命名时，键盘输入有可能会被计入两次。这是一个Unity的问题，希望能得到修复！,"— При вводе имён персонажей нажатия клавиш могут «двоиться». Это проблема Unity — надеемся, она будет исправлена! "
UI_PURGE_SAVE,PURGE SAVE,清除存档,Уничтожить сохранение
UI_DLC_AND_MODS,DLC & Mods,,
UI_LEAVE_GAME,LEAVE,离开,Выйти
UI_DLC,DLC,,
UI_DLC_INSTALLED,Installed!,,
UI_DLC_PURCHASE,Purchase,,
UI_DLC_TITLE_DANCER,The Dancer,,
UI_DLC_TITLE_PRIEST,The Priest,,
UI_DLC_TITLE_GHOUL,The Ghoul,,
UI_DLC_DESCRIPTION_DANCER,You must not be stilled.,,
UI_DLC_DESCRIPTION_PRIEST,Unseal and unseam.,,
UI_DLC_DESCRIPTION_GHOUL,Call each of the Dead by name.,,
UI_DLC_UNAVAILABLE,"DLC isn't available on itch.io! To buy Cultist Simulator DLC, go to Steam, GOG or Humble.",,
UI_INSTALLED_MODS,Installed mods,,
UI_MODS_INTRODUCTION,Visit the <link="https://steamcommunity.com/app/718670/discussions/1/"><color=#ccd2e8><b><u>Steam community forums</u></b></color></link> to find and download mods for Cultist Simulator.,,
UI_MODS_NO_MODS,No mods are currently installed.,,
UI_CREDITS,WHO IS RESPONSIBLE?,谁在游戏幕后？,Кто в ответе?
UI_BEGIN_GAME,BEGIN GAME,开始游戏,Начать игру
UI_INCOMPATIBLE_SAVE,INCOMPATIBLE SAVE,不兼容存档,Несовместимое сохранение
UI_INCOMPATIBLE_SAVE_1,You have an ANTIQUE and BLASPHEMOUS save file from a previous build! Purge it to continue.,你现在的存档来自之前的游戏版本，如今已经老若古董，充满渎神气息！清除它方能继续游戏。,Ваш файл сохранения — пережиток прошлой версии игры. Мы не можем допустить это ДРЕВНЕЕ ЗЛО! Уничтожьте его.
UI_CORRUPTED_SAVE_TITLE,CORRUPTED SAVE,,
UI_CORRUPTED_SAVE_DESC,"Regrettably, we couldn't recover your save. Click here to see your backup save files - one may still be usable.",,
UI_OPTIONS_FE,Options,选项,Настройки
UI_MANAGE_SAVES,MANAGE SAVES,管理存档,СОХРАНЕНИЯ
UI_MANAGE_SAVES_TITLE,Manage Saves and Backups,管理存档与备份,"Сохранения, резервные копии"
UI_SAVE_DENIED,The Mansus Defies Memory,漫索会消融记忆,Обитель неподвластна памяти
UI_SAVE_DENIED_DESC,"You cannot save within the non-existent walls of the Mansus. Replace the skin of the world before saving your progress, or abandon your efforts since the last save.",在漫索那并不存在的围墙之内，你无法为游戏存档。在完成对世界表皮的更替之前，你不能保存自己的进度，如果想要退出游戏，你只能放弃自己上一次保存以来的努力成果。,"Сохранение невозможно в стенах Обители, которых нет. Обновите кожу мира перед сохранением, либо отрекитесь от всего, что достигли после него."
UI_PURGE_CONFIRM,Purge Save,清除存档,Уничтожить сохранение?
UI_PURGE_DESC,This will irrevocably destroy your saved progress. You might want to do this if you have a corrupt or old save; or perhaps you want to begin again. But are you quite sure?,这将无法恢复地清除游戏进度。通常这样做的原因是存档文件损坏或者版本过旧。或者你希望重新开始游戏。但是，你真的确定要这样做吗？,"Это действие необратимо. Оно вернёт вас в исходную точку пути, удалив сохранённую позицию в игре. Это действие может быть полезно, если ваш файл сохранения повреждён или слишком стар, или вы просто хотите начать заново. Но вы совершенно точно уверены, что хотите это сделать?"
UI_PURGE_PURGE,PURGE,清除,Уничтожить
UI_PURGE_KEEP,KEEP,保留,Оставить
UI_LANGUAGE,Language,语言 ,Язык
UI_VERSION_NEWS,Version News,版本更新,Версия
UI_VERSION_NEWS_FAIL,Failed to load version news!,未能载入版本更新！,Не удалось получить данные о версии!
UI_CREDITS_TITLE,Credits,制作组,Титры
UI_RESPONSIBILITIES,RESPONSIBILITIES,负责工作,Ответственные
UI_CREDITS_ROLES,"Design, Writing, Coding\n\nProduction, Marketing, Biz\n\nUI Design and Coding\n\nArt\n\n\n\n\nMusic\n\n\n\n\nAudio\n\nAdditional Writing\n\nAdditional Coding\n\n\n\n\nAdditional Design\n\nMarketing & PR\n\nSpecial Thanks",,
UI_CREDITS_NAMES,"Alexis Kennedy\n\nLottie Bevan\n\nMartin Nerurkar\n\nCatherine Unger,\nClockwork Cuckoo,\nLottie Bevan,\nSarah Gordon\n\nMaribeth Solomon\nBrent Barkman\nMicky Erbe\nfor Mickymar Productions Ltd.\n\nSoundcuts\n\nLottie Bevan\n\nFraser McCormick\nChris Payne\nMarc Gagné (Lyrositor)\nHannah Rose\n\nCaolain Porter\n\nClaire Sharkey\n\n\nSonja & PK; Matt Hosty; Haley Uyrus; and literally everyone who has ever sent feedback or a bug report. Thank you.\n\n","Alexis Kennedy\n\nLottie Bevan\n\nMartin Nerurkar\n\nCatherine Unger,\nClockwork Cuckoo,\nLottie Bevan,\nSarah Gordon\n\nMaribeth Solomon\nBrent Barkman\nMicky Erbe\nfor Mickymar Productions Ltd.\n\nSoundcuts\n\nLottie Bevan\n\nFraser McCormick\nChris Payne\nMarc Gagné (Lyrositor)\nHannah Rose\n\nCaolain Porter\n\nClaire Sharkey\n\n\nSonja & PK; Matt Hosty; Haley Uyrus……我们也非常感谢每一位反馈bug和意见的玩家。谢谢你们。","Alexis Kennedy\n\nLottie Bevan\n\nMartin Nerurkar\n\nCatherine Unger,\nClockwork Cuckoo,\nLottie Bevan,\nSarah Gordon\n\nMaribeth Solomon\nBrent Barkman\nMicky Erbe\nfor Mickymar Productions Ltd.\n\nSoundcuts\n\nLottie Bevan\n\nFraser McCormick\nChris Payne\nMarc Gagné (Lyrositor)\nHannah Rose\n\nCaolain Porter\n\nClaire Sharkey\n\n\nSonja & PK; Matt Hosty; Haley Uyrus...а также буквально все, кто оставил нам отзыв или послал отчёт об ошибке. Спасибо."
UI_BROWSE_SAVES,VIEW SAVE FILE,查看存档文件,Открыть файл сохранения
UI_ENABLE,Enable,,
UI_DISABLE,Disable,,
UI_BRING_THE_DAWN,Bring the Dawn,启明,Путём Рассвета
UI_PERPETUAL_EDITION,Perpetual Edition,永恒版,Вечная версия
UI_LOADEDTITLE,Where were we?,我们身在何处？,На чём мы остановились?
UI_LOADEDDESC,- we have loaded the game.,我们已加载游戏进度。,Мы загрузили игру.
UI_LOADFAILEDTITLE,Failed to load game,,
UI_LOADFAILEDDESC,Your save file appears to be corrupt. Try restoring a backup save file or purging your save.,,
LOADING_QUOTE_1,"“The Wood grows around the walls of the Mansus.\n\nAs any student of Histories knows, the Mansus has no walls.”\n\nChristopher Illopoly, <i>Travelling at Night</i>",“林地坐落于漫索的围墙之外。\n\n而研习历史的人都知道，漫索并无围墙。”\n\n克里斯托弗·依洛波里，《夜行漫记》,"Лес растёт вокруг стен Обители.\n\nКак знают все, изучавшие Истории, у Обители нет стен.\n\n<i>Кристофер Иллополи. Странствуя в Ночи</i>"
LOADING_QUOTE_2,"<i>Explore. Take risks.\n\nYou won't always know what to do next. Keep experimenting, and you'll master it.</i>",探索一切。风险自偿。\n\n你不可能总是能知道下面该做什么。多加尝试，你会逐渐掌握其中的规律。,"Исследуйте. Рискуйте.\n\nВам не всегда будет ясно, что делать дальше. Не сдавайтесь, и вы освоитесь."
LEGACY_MAIN_MENU,Main menu,主菜单,Главное меню
LEGACY_ANOTHER_DESCENT,Begin another descent,开始另一次降临,Шагнуть вниз вновь
LEGACY_DETERMINE,Determine your Legacy,选择身世,Выберите Наследие
LEGACY_BACK_TO_MENU,Back to menu,返回菜单,В главное меню
LEGACY_START_NEW_GAME,Start new game,开始新游戏,Новая игра
LEGACY_BECAUSE_PREFIX,[Always available after ,[,[Всегда доступно после
LEGACY_BECAUSE_POSTFIX,],后始终可选],]
VERB_START,[S]tart,[S]开始,Вперёд
VERB_COLLECT,[C]ollect All,[C]收集全部,Забрать всё
VERB_RUNNING,Running...,进行中……,В процессе
VERB_ACCEPT,Accept [C],[C]接受,Принять
UI_ASPECT,Aspect: ,属性：,Аспект:
UI_SLOT,Slot: ,栏位：,Разъём:
UI_GREEDY,Grabs a card to fill its void,抓取一张卡牌来填充它 ,"Забирает карту, чтобы насытить свою пустоту "
UI_CONSUMES,Consumes its contents,消耗其内容 ,Поглощает содержимое
UI_UNIQUE,Unique: Can only exist once,独有：仅能出现一次 ,Неповторимо: существует лишь однажды
UI_UPCOMINGDRAWS,Upcoming draws: ,即将抽取：,Я получаю карты:
UI_DECAYS,This type of cards decays and can not be stacked.,这种卡牌会随着时间推移消失，无法进行堆叠。 ,Срок жизни таких карт ограничен; их нельзя сложить в стопку.
UI_EMPTYSPACE,“It is the empty space which makes the bowl useful” - Lao Tzu,“埏埴以为器，当其无，有器之用。” —— 老子,«Употребление сосудов зависит от пустоты в них» — Лао Цзы.
UI_CANTMERGE,Can't merge cards,无法合并牌组,Не могу соединить эти карты
UI_CANTPUT,I can't put that there -,我不能把它放在这里……,Не могу положить это сюда —
UI_ASPECTSREQUIRED,That card must have at least one of these aspects: ,放在此处的卡牌必须至少拥有下列属性之一： ,У карты должен быть хотя бы один из указанных аспектов:
UI_ASPECTSFORBIDDEN,A card may not go here if it has any of these aspects: ,含有下列属性的卡牌无法挪至该处： ,Здесь недопустимы карты с любым из указанных аспектов:
UI_OR,", or ", 或者 ,", или "
UI_FULLSTOP,".","。","."
UI_HINT,Hint:,提示：,Подсказка:
UI_DEFAULTNAME,J.N. Sinombre,J.N. Sinombre,Эли Мярек
